text,label
"Transaction Alert: Your SBI Credit Card ending 4327 was used at Amazon India for Rs.599 on 20-05-2026. If not done by you, call +91 95852 31868.",ham
"Dear winner, your mobile number has selected for Rs 25 Lakhs lottery prize in KBC Season 2026. Contact WhatsApp helpline +91 92806 73918 or visit bit.ly/update-kyc-now",spam
"Dear customer, your DHL shipment tracking 1528 requires a nominal custom duty fee of Rs.45 to be released. Pay now: linktr.ee/kbc-draw",spam
Your verification code for WhatsApp is 843418. Team WhatsApp will never call or SMS you asking for this code.,ham
Alert! Your SBI debit card is blocked. Kindly click on tinyurl.com/sbi-netsecure to update your KYC and resume services immediately.,spam
"Good News! Your loan of Rs.1,000,000 has been pre-approved with 0% processing fee. Instant disbursement in 5 mins. Apply here: indiahrms-telegram.co",spam
"Success! Your recharge of Rs.4,500 for Jio mobile +91 96774 25167 is successful. Data benefits: 2GB/day, Validity: 84 days. Thank you.",ham
"Dear customer, your DHL shipment tracking 2595 requires a nominal custom duty fee of Rs.45 to be released. Pay now: bit.ly/update-kyc-now",spam
Your Ajio package cannot be delivered due to an incorrect house number. Please update your address and schedule re-delivery at: pnb-kyc-verification.org,spam
"Transaction Alert: Your PNB Credit Card ending 3974 was used at MakeMyTrip for Rs.149 on 19-05-2026. If not done by you, call +91 86135 88774.",ham
"Dear Customer, your EMI of Rs.499 for loan account ending 2438 is overdue. Pay immediately via paytm-cashback-reward.com to avoid court notice and legal action.",spam
"Security Update: A login attempt was detected on your Paytm profile from a new device. If this wasn't you, secure your account instantly by verifying here: bit.ly/update-kyc-now",spam
"Dear customer, your DHL shipment tracking 5630 requires a nominal custom duty fee of Rs.45 to be released. Pay now: pnb-kyc-verification.org",spam
493338 is the OTP for login into your GPay account. Valid for 10 minutes. Do not share this OTP with anyone for security reasons.,ham
"Alert: Rs.4,500 debited from your PNB A/c ending 5203 on Today towards UPI-Paytm ref no 753384472132. Bal: Rs.4,320.50.",ham
"Hi all, please note that the team sync meeting has been rescheduled to 3:30 PM today. Please join via the calendar invite link.",ham
"Crypto Alert: Bitcoin is surging! Get 5,000 tokens free as a sign-up bonus today only. Claim your wallet here: delivery-address-update.in",spam
983201 is the OTP for login into your Cred account. Valid for 10 minutes. Do not share this OTP with anyone for security reasons.,ham
"Dear Customer, Your A/c ending 7525 has been credited with Rs.149 on 19-05-2026 by InfoSys Salary. Total Available Bal: Rs.1,450.10.",ham
"Dear Customer, your EMI of Rs.2,500 for loan account ending 1862 is overdue. Pay immediately via pnb-kyc-verification.org to avoid court notice and legal action.",spam
Use OTP 135620 to complete your registration on the SmartSpam portal. Thank you for choosing us.,ham
URGENT: Your Kotak NetBanking access has been suspended. Please update your PAN card details within 24 hours to re-activate. Visit paytm-cashback-reward.com,spam
"Urgent: Pre-approved instant credit line of Rs.1,000,000 is ready for you. No documentation required. Click to withdraw: verify-hdfc-pan.in",spam
"Dear Customer, your monthly statement for Canara Bank Credit Card ending 5753 is generated. Total Due: Rs.15,000, Due Date: 25-05-2026.",ham
"Scratch card won! You received Rs.10,000 cashback on your recent transaction. Tap here to transfer to your account: icici-security-alert.net",spam
Your premium for LIC policy 1413 is outstanding. Pay today to avoid policy lapse and get 15% discount on late fees: bit.ly/update-kyc-now,spam
"Do not share! OTP for your transaction of Rs.10,000 on ICICI is 947588. If you did not do this, call customer care immediately at +91 80045 23095 or stop it via icici-security-alert.net",spam
"Dear customer, your DHL shipment tracking 4357 requires a nominal custom duty fee of Rs.45 to be released. Pay now: pnb-kyc-verification.org",spam
URGENT: Your BOB NetBanking access has been suspended. Please update your PAN card details within 24 hours to re-activate. Visit linktr.ee/kbc-draw,spam
"Congratulations! You have won a cashback reward of Rs.10,000 from Paytm. Click to claim directly into your bank account: linktr.ee/kbc-draw",spam
Your Flipkart package cannot be delivered due to an incorrect house number. Please update your address and schedule re-delivery at: icici-security-alert.net,spam
"Do not share! OTP for your transaction of Rs.1,999 on Kotak is 247759. If you did not do this, call customer care immediately at +91 79299 58020 or stop it via paytm-cashback-reward.com",spam
"Your broadband bill for account 6343 is due on 30-05-2026. Avoid late payment charges by paying Rs.15,000 now.",ham
Use OTP 684827 to complete your registration on the SmartSpam portal. Thank you for choosing us.,ham
"Dear Customer, Your A/c ending 7963 has been credited with Rs.149 on 19-05-2026 by InfoSys Salary. Total Available Bal: Rs.1,450.10.",ham
"Dear Customer, bill for your electricity consumer account 2334 has been generated. Amount Due: Rs.149. Due Date: 25-05-2026. Pay via your banking app.",ham
"Do not share! OTP for your transaction of Rs.5,000 on ICICI is 387421. If you did not do this, call customer care immediately at +91 77131 98170 or stop it via verify-hdfc-pan.in",spam
"Transaction Alert: Your Kotak Credit Card ending 2473 was used at MakeMyTrip for Rs.1,250 on Today. If not done by you, call +91 76294 77656.",ham
Use OTP 300958 to complete your registration on the SmartSpam portal. Thank you for choosing us.,ham
Delivered: Your Blinkit order from Haldirams has been delivered by our rider. Hope you enjoy your meal!,ham
Congratulations! You have won a cashback reward of Rs.499 from GPay. Click to claim directly into your bank account: indiahrms-telegram.co,spam
Your Blinkit order is packed and out for delivery. Your delivery executive Vikram (+91 77864 36682) will reach you in 9 minutes.,ham
"Dear Customer, your EMI of Rs.499 for loan account ending 5861 is overdue. Pay immediately via verify-hdfc-pan.in to avoid court notice and legal action.",spam
904552 is the OTP for login into your GPay account. Valid for 10 minutes. Do not share this OTP with anyone for security reasons.,ham
"Alert: Rs.149 debited from your HDFC A/c ending 8723 on 18-05-2026 towards UPI-GPay ref no 899976672964. Bal: Rs.12,850.00.",ham
"Crypto Alert: Dogecoin is surging! Get 1,999 tokens free as a sign-up bonus today only. Claim your wallet here: verify-hdfc-pan.in",spam
Your verification code for GitHub is 962927. Team GitHub will never call or SMS you asking for this code.,ham
India Post Alert: Your parcel has arrived at the sorting hub but address is missing. Please update details within 12 hours here: pnb-kyc-verification.org,spam
Hi! Your order from Meesho containing your items has been dispatched and will be delivered today by BlueDart. Track here: jio.com/recharge,ham
"Dear customer, your DHL shipment tracking 3755 requires a nominal custom duty fee of Rs.45 to be released. Pay now: verify-hdfc-pan.in",spam
"Do not share! OTP for your transaction of Rs.499 on PNB is 474835. If you did not do this, call customer care immediately at +91 80559 20572 or stop it via icici-security-alert.net",spam
Your verification code for WhatsApp is 751210. Team WhatsApp will never call or SMS you asking for this code.,ham
"Scratch card won! You received Rs.10,000 cashback on your recent transaction. Tap here to transfer to your account: shorturl.at/xyz78",spam
"Dear Customer, Your A/c ending 2199 has been credited with Rs.1,250 on 20-05-2026 by InfoSys Salary. Total Available Bal: Rs.84,100.25.",ham
"Dear User, your reward points worth Rs.1,999 are expiring today. Convert points to cash now by visiting: tinyurl.com/sbi-netsecure",spam
Use OTP 245424 to complete your registration on the SmartSpam portal. Thank you for choosing us.,ham
"Dear Customer, your EMI of Rs.499 for loan account ending 5047 is overdue. Pay immediately via verify-hdfc-pan.in to avoid court notice and legal action.",spam
"Success! Your recharge of Rs.4,500 for Jio mobile +91 83597 63598 is successful. Data benefits: 2GB/day, Validity: 84 days. Thank you.",ham
"Dear Customer, bill for your electricity consumer account 8695 has been generated. Amount Due: Rs.15,000. Due Date: 30-05-2026. Pay via your banking app.",ham
Alert! Your Kotak debit card is blocked. Kindly click on shorturl.at/xyz78 to update your KYC and resume services immediately.,spam
Your verification code for WhatsApp is 637821. Team WhatsApp will never call or SMS you asking for this code.,ham
"Dear Customer, Your A/c ending 7967 has been credited with Rs.4,500 on 20-05-2026 by InfoSys Salary. Total Available Bal: Rs.84,100.25.",ham
Use OTP 674814 to complete your registration on the SmartSpam portal. Thank you for choosing us.,ham
Hi! Your order from Amazon containing your items has been dispatched and will be delivered today by India Post. Track here: amzn.in/d/3x7Fq,ham
"Alert: Rs.149 debited from your SBI A/c ending 1706 on 19-05-2026 towards UPI-GPay ref no 819998462099. Bal: Rs.1,450.10.",ham
"Success! Your recharge of Rs.149 for Jio mobile +91 72574 47165 is successful. Data benefits: 2GB/day, Validity: 84 days. Thank you.",ham
"Dear customer, your KYC update for GPay is pending. Your wallet will be deactivated today. To complete verification, open: bit.ly/update-kyc-now",spam
Your Blinkit order is packed and out for delivery. Your delivery executive Suresh (+91 85995 68680) will reach you in 9 minutes.,ham
"Transaction Alert: Your Kotak Credit Card ending 1379 was used at Shell Petrol Pump for Rs.1,250 on Today. If not done by you, call +91 80551 37424.",ham
Your premium for LIC policy 5969 is outstanding. Pay today to avoid policy lapse and get 15% discount on late fees: bit.ly/update-kyc-now,spam
Your Myntra package cannot be delivered due to an incorrect house number. Please update your address and schedule re-delivery at: indiahrms-telegram.co,spam
"Dear Axis Bank Customer, your account is BLOCKED due to pending KYC update. Click here to verify instantly: delivery-address-update.in or your card will be permanently suspended.",spam
"Congratulations! You have won a cashback reward of Rs.10,000 from GPay. Click to claim directly into your bank account: icici-security-alert.net",spam
"Dear Customer, Your A/c ending 3405 has been credited with Rs.1,250 on Today by InfoSys Salary. Total Available Bal: Rs.84,100.25.",ham
Congratulations! You have won a cashback reward of Rs.499 from Cred. Click to claim directly into your bank account: tinyurl.com/sbi-netsecure,spam
"Dear Customer, bill for your electricity consumer account 9263 has been generated. Amount Due: Rs.15,000. Due Date: 30-05-2026. Pay via your banking app.",ham
"Dear winner, your mobile number has selected for Rs 75 Lakhs lottery prize in KBC Season 2026. Contact WhatsApp helpline +91 90061 59302 or visit bit.ly/update-kyc-now",spam
India Post Alert: Your parcel has arrived at the sorting hub but address is missing. Please update details within 12 hours here: linktr.ee/kbc-draw,spam
732159 is the OTP for login into your Paytm account. Valid for 10 minutes. Do not share this OTP with anyone for security reasons.,ham
"Dear User, your reward points worth Rs.499 are expiring today. Convert points to cash now by visiting: delivery-address-update.in",spam
"Your broadband bill for account 8057 is due on 30-05-2026. Avoid late payment charges by paying Rs.1,250 now.",ham
"Scratch card won! You received Rs.1,999 cashback on your recent transaction. Tap here to transfer to your account: pnb-kyc-verification.org",spam
Hi! Your order from Myntra containing your items has been dispatched and will be delivered today by DTDC. Track here: delhivery.com/track,ham
Your Flipkart package cannot be delivered due to an incorrect house number. Please update your address and schedule re-delivery at: tinyurl.com/sbi-netsecure,spam
Your Blinkit order is packed and out for delivery. Your delivery executive Suresh (+91 97006 60807) will reach you in 9 minutes.,ham
Hi! Your order from Ajio containing your items has been dispatched and will be delivered today by DTDC. Track here: amzn.in/d/3x7Fq,ham
"Your broadband bill for account 8872 is due on 30-05-2026. Avoid late payment charges by paying Rs.1,250 now.",ham
"Dear Customer, bill for your electricity consumer account 2605 has been generated. Amount Due: Rs.15,000. Due Date: 30-05-2026. Pay via your banking app.",ham
"Alert: Rs.149 debited from your ICICI A/c ending 3041 on 18-05-2026 towards UPI-Cred ref no 800782961105. Bal: Rs.1,450.10.",ham
Your Blinkit order is packed and out for delivery. Your delivery executive Ramesh (+91 75565 15045) will reach you in 9 minutes.,ham
Use OTP 523039 to complete your registration on the SmartSpam portal. Thank you for choosing us.,ham
Scratch card won! You received Rs.499 cashback on your recent transaction. Tap here to transfer to your account: icici-security-alert.net,spam
991114 is the OTP for login into your PhonePe account. Valid for 10 minutes. Do not share this OTP with anyone for security reasons.,ham
Your Blinkit order is packed and out for delivery. Your delivery executive Amit (+91 72215 78378) will reach you in 9 minutes.,ham
"Good News! Your loan of Rs.1,000,000 has been pre-approved with 0% processing fee. Instant disbursement in 5 mins. Apply here: pnb-kyc-verification.org",spam
URGENT: Your BOB NetBanking access has been suspended. Please update your PAN card details within 24 hours to re-activate. Visit indiahrms-telegram.co,spam
Alert! Your Canara Bank debit card is blocked. Kindly click on shorturl.at/xyz78 to update your KYC and resume services immediately.,spam
"Alert: Rs.1,250 debited from your PNB A/c ending 5035 on 20-05-2026 towards UPI-Amazon Pay ref no 714186534230. Bal: Rs.4,320.50.",ham
Your Blinkit order is packed and out for delivery. Your delivery executive Vikram (+91 78256 95258) will reach you in 9 minutes.,ham
Hi! Your order from Flipkart containing your items has been dispatched and will be delivered today by BlueDart. Track here: delhivery.com/track,ham
Your Blinkit order is packed and out for delivery. Your delivery executive Rahul (+91 72408 52711) will reach you in 9 minutes.,ham
"You have a pending received request of Rs.2,500 on PhonePe from Airtel Offer. Click link to accept money: indiahrms-telegram.co",spam
"Dear Customer, Your A/c ending 2673 has been credited with Rs.4,500 on 19-05-2026 by InfoSys Salary. Total Available Bal: Rs.4,320.50.",ham
"Dear customer, your KYC update for Paytm is pending. Your wallet will be deactivated today. To complete verification, open: tinyurl.com/sbi-netsecure",spam
"Dear customer, your KYC update for GPay is pending. Your wallet will be deactivated today. To complete verification, open: paytm-cashback-reward.com",spam
"Urgent: Pre-approved instant credit line of Rs.5,000,000 is ready for you. No documentation required. Click to withdraw: indiahrms-telegram.co",spam
"Security Update: A login attempt was detected on your Amazon Pay profile from a new device. If this wasn't you, secure your account instantly by verifying here: paytm-cashback-reward.com",spam
Use OTP 403647 to complete your registration on the SmartSpam portal. Thank you for choosing us.,ham
"Success! Your recharge of Rs.599 for Jio mobile +91 94197 42807 is successful. Data benefits: 2GB/day, Validity: 84 days. Thank you.",ham
Use OTP 815457 to complete your registration on the SmartSpam portal. Thank you for choosing us.,ham
"Dear HDFC Customer, your account is BLOCKED due to pending KYC update. Click here to verify instantly: icici-security-alert.net or your card will be permanently suspended.",spam
"Dear Customer, your monthly statement for Axis Bank Credit Card ending 1135 is generated. Total Due: Rs.4,500, Due Date: 05-06-2026.",ham
Your verification code for Google is 925986. Team Google will never call or SMS you asking for this code.,ham
Earn Rs 3000-7000 daily just by working 1-2 hours from home! No experience required. Tap to message our HR on Telegram: icici-security-alert.net,spam
"Security Update: A login attempt was detected on your Google Pay profile from a new device. If this wasn't you, secure your account instantly by verifying here: shorturl.at/xyz78",spam
"Dear Kotak Customer, your account is BLOCKED due to pending KYC update. Click here to verify instantly: shorturl.at/xyz78 or your card will be permanently suspended.",spam
"Dear Customer, bill for your electricity consumer account 3820 has been generated. Amount Due: Rs.4,500. Due Date: 05-06-2026. Pay via your banking app.",ham
"Transaction Alert: Your SBI Credit Card ending 7866 was used at MakeMyTrip for Rs.4,500 on 19-05-2026. If not done by you, call +91 75883 11997.",ham
352188 is the OTP for login into your Amazon Pay account. Valid for 10 minutes. Do not share this OTP with anyone for security reasons.,ham
"Security Update: A login attempt was detected on your Cred profile from a new device. If this wasn't you, secure your account instantly by verifying here: indiahrms-telegram.co",spam
"Dear Customer, your monthly statement for SBI Credit Card ending 6416 is generated. Total Due: Rs.4,500, Due Date: 25-05-2026.",ham
Crypto Alert: Ethereum is surging! Get 499 tokens free as a sign-up bonus today only. Claim your wallet here: verify-hdfc-pan.in,spam
"Dear Customer, Your A/c ending 3953 has been credited with Rs.149 on 19-05-2026 by InfoSys Salary. Total Available Bal: Rs.84,100.25.",ham
"Dear Customer, your monthly statement for Axis Bank Credit Card ending 6023 is generated. Total Due: Rs.4,500, Due Date: 30-05-2026.",ham
"Crypto Alert: Solana is surging! Get 10,000 tokens free as a sign-up bonus today only. Claim your wallet here: tinyurl.com/sbi-netsecure",spam
"Dear Customer, bill for your electricity consumer account 5731 has been generated. Amount Due: Rs.15,000. Due Date: 25-05-2026. Pay via your banking app.",ham
"Dear User, your reward points worth Rs.2,500 are expiring today. Convert points to cash now by visiting: delivery-address-update.in",spam
Your Ajio package cannot be delivered due to an incorrect house number. Please update your address and schedule re-delivery at: indiahrms-telegram.co,spam
Your broadband bill for account 6540 is due on 05-06-2026. Avoid late payment charges by paying Rs.599 now.,ham
"Dear Kotak Customer, your account is BLOCKED due to pending KYC update. Click here to verify instantly: linktr.ee/kbc-draw or your card will be permanently suspended.",spam
"Dear winner, your mobile number has selected for Rs 25 Lakhs lottery prize in KBC Season 2026. Contact WhatsApp helpline +91 95072 97563 or visit pnb-kyc-verification.org",spam
"Dear customer, your DHL shipment tracking 6230 requires a nominal custom duty fee of Rs.45 to be released. Pay now: verify-hdfc-pan.in",spam
Your broadband bill for account 8356 is due on 30-05-2026. Avoid late payment charges by paying Rs.149 now.,ham
"Transaction Alert: Your SBI Credit Card ending 4434 was used at MakeMyTrip for Rs.4,500 on Today. If not done by you, call +91 94060 87196.",ham
Delivered: Your Swiggy order from KFC has been delivered by our rider. Hope you enjoy your meal!,ham
"Dear winner, your mobile number has selected for Rs 25 Lakhs lottery prize in KBC Season 2026. Contact WhatsApp helpline +91 94524 45326 or visit indiahrms-telegram.co",spam
"Dear Customer, your monthly statement for SBI Credit Card ending 6374 is generated. Total Due: Rs.4,500, Due Date: 30-05-2026.",ham
Use OTP 476137 to complete your registration on the SmartSpam portal. Thank you for choosing us.,ham
"Good News! Your loan of Rs.1,000,000 has been pre-approved with 0% processing fee. Instant disbursement in 5 mins. Apply here: icici-security-alert.net",spam
Part-time job offer: Like YouTube videos and earn Rs 50 per video. Daily payout up to Rs 5000. Join the official group now: delivery-address-update.in,spam
"Security Update: A login attempt was detected on your GPay profile from a new device. If this wasn't you, secure your account instantly by verifying here: linktr.ee/kbc-draw",spam
"Dear customer, your DHL shipment tracking 3869 requires a nominal custom duty fee of Rs.45 to be released. Pay now: verify-hdfc-pan.in",spam
Part-time job offer: Like YouTube videos and earn Rs 50 per video. Daily payout up to Rs 5000. Join the official group now: icici-security-alert.net,spam
"Congratulations! You have won a cashback reward of Rs.10,000 from PhonePe. Click to claim directly into your bank account: bit.ly/update-kyc-now",spam
Hi! Your order from Amazon containing your items has been dispatched and will be delivered today by DTDC. Track here: amzn.in/d/3x7Fq,ham
"Your broadband bill for account 6641 is due on 05-06-2026. Avoid late payment charges by paying Rs.1,250 now.",ham
Use OTP 628986 to complete your registration on the SmartSpam portal. Thank you for choosing us.,ham
Your premium for LIC policy 5302 is outstanding. Pay today to avoid policy lapse and get 15% discount on late fees: verify-hdfc-pan.in,spam
"You have a pending received request of Rs.10,000 on Amazon Pay from Airtel Offer. Click link to accept money: icici-security-alert.net",spam
"Crypto Alert: Solana is surging! Get 10,000 tokens free as a sign-up bonus today only. Claim your wallet here: paytm-cashback-reward.com",spam
"Security Update: A login attempt was detected on your Cred profile from a new device. If this wasn't you, secure your account instantly by verifying here: bit.ly/update-kyc-now",spam
"Do not share! OTP for your transaction of Rs.1,999 on ICICI is 497679. If you did not do this, call customer care immediately at +91 92283 32327 or stop it via verify-hdfc-pan.in",spam
URGENT: Your ICICI NetBanking access has been suspended. Please update your PAN card details within 24 hours to re-activate. Visit paytm-cashback-reward.com,spam
Your Blinkit order is packed and out for delivery. Your delivery executive Ramesh (+91 99834 45515) will reach you in 9 minutes.,ham
843733 is the OTP for login into your Paytm account. Valid for 10 minutes. Do not share this OTP with anyone for security reasons.,ham
"Dear customer, your DHL shipment tracking 3674 requires a nominal custom duty fee of Rs.45 to be released. Pay now: tinyurl.com/sbi-netsecure",spam
"Congratulations! You have won a cashback reward of Rs.2,500 from GPay. Click to claim directly into your bank account: icici-security-alert.net",spam
"Do not share! OTP for your transaction of Rs.5,000 on PNB is 190493. If you did not do this, call customer care immediately at +91 93853 38267 or stop it via bit.ly/update-kyc-now",spam
514061 is the OTP for login into your GPay account. Valid for 10 minutes. Do not share this OTP with anyone for security reasons.,ham
You have a pending received request of Rs.499 on Google Pay from Airtel Offer. Click link to accept money: linktr.ee/kbc-draw,spam
"Scratch card won! You received Rs.1,999 cashback on your recent transaction. Tap here to transfer to your account: linktr.ee/kbc-draw",spam
"Dear Customer, your EMI of Rs.499 for loan account ending 3716 is overdue. Pay immediately via icici-security-alert.net to avoid court notice and legal action.",spam
"Your broadband bill for account 3844 is due on 30-05-2026. Avoid late payment charges by paying Rs.4,500 now.",ham
"Dear customer, your DHL shipment tracking 5800 requires a nominal custom duty fee of Rs.45 to be released. Pay now: tinyurl.com/sbi-netsecure",spam
Your broadband bill for account 6309 is due on 30-05-2026. Avoid late payment charges by paying Rs.599 now.,ham
"Dear winner, your mobile number has selected for Rs 25 Lakhs lottery prize in KBC Season 2026. Contact WhatsApp helpline +91 72747 97952 or visit delivery-address-update.in",spam
"Success! Your recharge of Rs.1,250 for Jio mobile +91 90220 29637 is successful. Data benefits: 2GB/day, Validity: 84 days. Thank you.",ham
Your premium for LIC policy 7043 is outstanding. Pay today to avoid policy lapse and get 15% discount on late fees: indiahrms-telegram.co,spam
"Dear Customer, bill for your electricity consumer account 9931 has been generated. Amount Due: Rs.15,000. Due Date: 05-06-2026. Pay via your banking app.",ham
"Dear Customer, bill for your electricity consumer account 2246 has been generated. Amount Due: Rs.15,000. Due Date: 30-05-2026. Pay via your banking app.",ham
274122 is the OTP for login into your PhonePe account. Valid for 10 minutes. Do not share this OTP with anyone for security reasons.,ham
Alert! Your Canara Bank debit card is blocked. Kindly click on delivery-address-update.in to update your KYC and resume services immediately.,spam
"Success! Your recharge of Rs.4,500 for Jio mobile +91 79819 54605 is successful. Data benefits: 2GB/day, Validity: 84 days. Thank you.",ham
Your verification code for GitHub is 763328. Team GitHub will never call or SMS you asking for this code.,ham
"Alert: Rs.149 debited from your SBI A/c ending 1143 on 20-05-2026 towards UPI-GPay ref no 784999363165. Bal: Rs.12,850.00.",ham
"Transaction Alert: Your Canara Bank Credit Card ending 4514 was used at Amazon India for Rs.1,250 on 19-05-2026. If not done by you, call +91 80635 52417.",ham
"Your broadband bill for account 2394 is due on 25-05-2026. Avoid late payment charges by paying Rs.4,500 now.",ham
"Dear Axis Bank Customer, your account is BLOCKED due to pending KYC update. Click here to verify instantly: indiahrms-telegram.co or your card will be permanently suspended.",spam
"You have a pending received request of Rs.2,500 on PhonePe from Airtel Offer. Click link to accept money: linktr.ee/kbc-draw",spam
"Security Update: A login attempt was detected on your Cred profile from a new device. If this wasn't you, secure your account instantly by verifying here: linktr.ee/kbc-draw",spam
India Post Alert: Your parcel has arrived at the sorting hub but address is missing. Please update details within 12 hours here: indiahrms-telegram.co,spam
"Dear Customer, your EMI of Rs.5,000 for loan account ending 2092 is overdue. Pay immediately via bit.ly/update-kyc-now to avoid court notice and legal action.",spam
"Dear Customer, your monthly statement for Axis Bank Credit Card ending 5916 is generated. Total Due: Rs.599, Due Date: 25-05-2026.",ham
"Dear customer, your DHL shipment tracking 6349 requires a nominal custom duty fee of Rs.45 to be released. Pay now: indiahrms-telegram.co",spam
414542 is the OTP for login into your Paytm account. Valid for 10 minutes. Do not share this OTP with anyone for security reasons.,ham
"Security Update: A login attempt was detected on your Amazon Pay profile from a new device. If this wasn't you, secure your account instantly by verifying here: verify-hdfc-pan.in",spam
Delivered: Your Blinkit order from KFC has been delivered by our rider. Hope you enjoy your meal!,ham
Your verification code for Google is 425292. Team Google will never call or SMS you asking for this code.,ham
